"대전광역시","합계",249006,127218,121788
"대전광역시","20세 미만",3891,2087,1804
"대전광역시","20~24",31332,14738,16594
"대전광역시","25~29",38444,21923,16521
"대전광역시","30~34",26840,17192,9648
"대전광역시","35~39",16396,10586,5810
"대전광역시","40~44",14754,9279,5475
"대전광역시","45~49",14452,8879,5573
"대전광역시","50~54",17001,9965,7036
"대전광역시","55~59",16108,8469,7639
"대전광역시","60~64",19411,8725,10686
"대전광역시","65~69",16085,6354,9731
"대전광역시","70~74",11670,3854,7816
"대전광역시","75~79",8960,2224,6736
"대전광역시","80~84",7960,1785,6175
"대전광역시","85세 이상",5702,1158,4544
"울산광역시","합계",137096,75797,61299
"울산광역시","20세 미만",328,160,168
"울산광역시","20~24",5123,2750,2373
"울산광역시","25~29",14171,9230,4941
"울산광역시","30~34",13177,9397,3780
"울산광역시","35~39",9757,7162,2595
"울산광역시","40~44",10476,7533,2943
"울산광역시","45~49",10508,7056,3452
"울산광역시","50~54",12556,7892,4664
"울산광역시","55~59",12509,7044,5465
"울산광역시","60~64",14525,6911,7614
"울산광역시","65~69",12042,4806,7236
"울산광역시","70~74",8458,2889,5569
"울산광역시","75~79",5881,1503,4378
"울산광역시","80~84",4685,959,3726
"울산광역시","85세 이상",2900,505,2395
"세종특별자치시","합계",50561,26446,24115
"세종특별자치시","20세 미만",813,401,412
"세종특별자치시","20~24",5999,2958,3041
"세종특별자치시","25~29",7960,4358,3602
"세종특별자치시","30~34",7446,4539,2907
"세종특별자치시","35~39",4625,2901,1724
"세종특별자치시","40~44",3956,2413,1543
"세종특별자치시","45~49",3376,1907,1469
"세종특별자치시","50~54",3517,1957,1560
"세종특별자치시","55~59",2842,1470,1372
"세종특별자치시","60~64",2908,1337,1571
"세종특별자치시","65~69",2323,941,1382
"세종특별자치시","70~74",1597,541,1056
"세종특별자치시","75~79",1208,308,900
"세종특별자치시","80~84",1141,238,903
"세종특별자치시","85세 이상",850,177,673
"경기도","합계",1634147,882118,752029
"경기도","20세 미만",8828,4165,4663
"경기도","20~24",79028,37116,41912
"경기도","25~29",194790,114092,80698
"경기도","30~34",190217,127060,63157
"경기도","35~39",133772,91070,42702
"경기도","40~44",127857,84823,43034
"경기도","45~49",122445,78838,43607
"경기도","50~54",137570,84796,52774
"경기도","55~59",130022,73782,56240
"경기도","60~64",145258,70989,74269
"경기도","65~69",117335,48680,68655
"경기도","70~74",82941,28453,54488
"경기도","75~79",67295,17761,49534
"경기도","80~84",56989,12428,44561
"경기도","85세 이상",39800,8065,31735
"강원도","합계",254441,127341,127100
"강원도","20세 미만",1632,907,725
"강원도","20~24",18422,10265,8157
"강원도","25~29",22521,13664,8857
"강원도","30~34",17243,11097,6146
"강원도","35~39",11906,7799,4107
"강원도","40~44",12943,8207,4736
"강원도","45~49",14884,9329,5555
"강원도","50~54",20006,12033,7973
"강원도","55~59",22772,12774,9998
"강원도","60~64",28763,14946,13817
"강원도","65~69",23999,11020,12979
"강원도","70~74",17078,6053,11025
"강원도","75~79",15829,4157,11672
"강원도","80~84",15379,3127,12252
"강원도","85세 이상",11064,1963,9101
"충청북도","합계",260948,136768,124180
"충청북도","20세 미만",1947,1051,896
"충청북도","20~24",17565,8861,8704
"충청북도","25~29",29960,18646,11314
"충청북도","30~34",23588,16421,7167
"충청북도","35~39",15742,10900,4842
"충청북도","40~44",15163,10230,4933
"충청북도","45~49",15880,10195,5685
"충청북도","50~54",20140,12222,7918
"충청북도","55~59",21806,12217,9589
"충청북도","60~64",25782,13090,12692
"충청북도","65~69",20951,9229,11722
"충청북도","70~74",14792,5369,9423
